Pair,Liquidity New,Liquidity Old,Volume 24h New,Volume 24h Old,Ascending Triangle,Whale Activity,Divergence Up
SNAKE/SOL,14564.57,14391.92,20260.03,21818.81,False,False,False
$ALPHA/WETH,47033.31,50305.97,47792.15,48052.31,False,False,False
META/WETH,23233.52,23052.77,29766.5,29699.71,False,False,False
META/USDC,1010835.32,1010835.32,11875.81,11875.81,False,False,False
META/SOL,7643.76,7640.68,295233.73,295230.59,False,False,False
LIVE/WETH,24191.75,25139.24,15727.6,15630.62,False,False,False
PHY/SOL,132244.14,132684.68,26561.96,26916.68,False,False,False
PHY/USDC,3909370.45,3909370.45,158033.57,158033.57,False,False,False
PHY/USDT,7984.12,8206.82,10907.83,11231.01,False,False,False
CYB/WBNB,52756.01,50503.78,39963.88,39760.95,False,False,False
IMO/WETH,3130480.86,3082507.66,24070.28,24501.24,False,False,False
BOOK/WBNB,686436.75,670293.4,15411.5,15235.14,False,False,False
FISH/TON,380581.18,379492.73,10140.92,10858.59,False,False,False
SHELL/WBNB,396383.86,390175.12,24640.81,24378.88,False,False,False
SOL/WHALE,30537.82,31497.72,28346.66,29125.0,False,False,False
FLOKI/WBNB,19428994.63,19293699.95,1039386.39,1018887.17,False,False,False
FLOKI/WETH,20245661.3,20124535.7,2475046.08,2476354.42,False,False,False
KEY/USDT,380761.21,380660.16,30388.76,30727.8,False,False,False
SEED/SOL,14657.3,12983.03,166406.27,212325.65,False,False,False
SIM/WETH,168102.88,164166.35,13457.29,12891.68,False,False,False
SCR/USDC,492635.51,492601.15,366555.44,367303.53,False,False,False
SCR/WETH,279620.72,278357.99,281638.77,278312.53,False,False,False
SOL/VOID,132949.13,132591.14,52424.14,52234.67,False,False,False
EXTRA/WETH,292981.22,291024.33,10843.33,10921.01,False,False,False
RAY/SOL,10478951.64,10497367.57,3725855.19,3734522.53,False,False,False
RAY/USDC,8394195.63,8405272.82,4896150.25,4918361.14,False,False,False
RAY/USDT,2149804.35,2158773.54,1226012.37,1228818.26,False,False,False
MSOL/RAY,318332.12,318007.27,90948.9,89794.2,False,False,False
RAY/SLERF,154868.32,152143.59,12444.8,12098.67,False,False,False
MAGA/WETH,1255923.27,1247763.45,18442.95,17765.63,False,False,False
LVL/SOL,6491.47,7337.43,77591.52,77545.64,False,False,False
SUSD/USDC,1684891.95,1684894.57,39094.65,69181.39,False,False,False
DAI/SUSD,132542.61,132542.61,10356.17,10574.33,False,False,False
SUSD/SUSDE,5965889.34,5941699.29,321907.86,333371.11,False,False,False
SUSD/WETH,448601.54,447690.93,26282.74,25620.24,False,False,False
CRVUSD/SUSD,23190.53,23175.16,11518.84,11963.93,False,False,False
BAT/LEGIT,5106010.26,5206099.15,35397.96,21257.31,False,False,False
BAT/WETH,138442.87,138332.41,73966.02,73820.79,False,False,False
BAT/ETH,55666.08,55666.08,32788.13,32788.13,False,False,False
CHEF/SOL,103599.62,98075.17,43825.17,43548.6,False,False,False
ROT/WETH,33909.77,34382.2,32141.96,31844.92,False,False,False
LINGO/WETH,999443.49,999718.93,37641.96,37824.11,False,False,False
USDT/VINU,54388.76,54395.89,72640.02,73468.02,False,False,False
VINU/WBNB,23323.78,23253.51,15570.77,15699.55,False,False,False
PAWS/USDC,377412.62,381408.52,84316.16,85669.48,False,False,False
QUEST/SOL,21864.2,21864.2,26747.49,26747.49,False,False,False
SAO/SOL,30977.19,31457.93,42406.0,40853.92,False,False,False
KISHU/WETH,991757.71,985996.4,11135.81,10867.57,False,False,False
APPLE/SOL,117122.27,140067.62,1278792.38,8028298.33,False,False,False
CBBTC/EDGE,5453997.08,5339816.97,9750372.56,10213908.12,False,False,False
EDGE/MAMO,424749.54,408138.22,242416.43,256087.19,False,False,False
EDGE/WETH,1364997.68,1352827.57,67775.42,84562.65,False,False,False
DEFINITIVE/EDGE,412368.36,432996.31,61889.67,54105.15,False,False,False
CATE/WBNB,965717.4,959951.11,20327.35,25634.42,False,False,False
CATE/SOL,28410.96,29802.21,16293.25,16673.35,False,False,False
ELON/SOL,380496.04,375337.58,30136.75,29764.16,False,False,False
CRCLX/ELON,86396.41,86620.2,48621.98,50161.95,False,False,False
ELON/MSTRX,58308.49,58158.12,54066.37,55457.76,False,False,False
ELON/WCRO,193315.31,190616.67,11860.77,10618.27,False,False,False
ELON/WETH,13933380.66,13807225.79,227991.51,218237.33,False,False,False
ELON/USDC,5750350.05,5699089.64,46574.81,43397.52,False,False,False
NOM/SOL,162266.64,162054.42,52198.56,53975.78,False,False,False
IN/WETH,998828.03,1001011.72,5154829.53,5770518.26,False,False,False
IN/WBNB,1600274.18,1595223.03,30466473.45,30586959.96,False,False,False
IN/USDT,6000.43,6010.4,23365.28,24129.98,False,False,False
SHRIMP/SOL,51174.53,50563.98,95086.75,93561.31,False,False,False
GM/USDT,420322.4,420305.35,31287.0,31611.61,False,False,False
GM/SOL,45996.71,45461.31,14943.16,16080.59,False,False,False
RLB/WETH,1213854.69,1215113.81,309166.54,310931.95,False,False,False
RLB/USDT,2131794.28,2126735.19,142014.92,145571.1,False,False,False
RLB/USDC,1722878.74,1718478.58,127596.35,126496.75,False,False,False
SOL/URA,77233.93,77714.78,58915.46,58210.4,False,False,False
SIN/WBNB,79300.39,78973.46,20585.74,19593.43,False,False,False
NYAN/SOL,462145.54,456522.47,78199.28,78001.4,False,False,False
NYAN/USDC,7151.1,0.0,12332.44,0.0,False,False,False
OLY/USDT,11479351.44,11479351.44,20002.02,20002.02,False,False,False
NPC/WETH,6766101.83,6719784.06,984084.99,1070419.03,False,False,False
NPC/WBNB,812863.7,807623.75,97197.62,95656.48,False,False,False
NPC/SOL,1259917.35,1246229.04,125037.01,128114.36,False,False,False
VVS/WCRO,107305503.19,106007103.79,214271.86,212138.77,False,False,False
USDC/VVS,1100140.74,1092587.89,112893.68,111592.46,False,False,False
USDT/VVS,649508.52,646830.95,36436.87,35656.46,False,False,False
LION/VVS,597925.46,593340.34,19530.01,19606.07,False,False,False
FM/VVS,499780.02,490526.72,33449.63,35519.21,False,False,False
CROID/VVS,318682.32,315089.17,19103.51,18758.3,False,False,False
VNO/VVS,510890.32,510890.32,25871.79,25889.48,False,False,False
FUL/VVS,551117.07,546309.41,13764.74,13987.92,False,False,False
TONIC/VVS,516092.84,510017.33,10062.79,10247.43,False,False,False
USC/VVS,739408.41,731804.11,30744.66,30303.51,False,False,False
PEPE/VVS,150898.25,150942.17,10114.78,10114.78,False,False,False
NFD/WETH,2802703.07,2776458.15,139669.75,131480.65,False,False,False
ASTR/USDC.E,290053.02,289069.67,360941.54,362142.47,False,False,False
ASTR/WETH,382399.34,381478.54,33017.51,35305.44,False,False,False
ASTR/ETH,130242.51,130020.71,14380.48,22481.73,False,False,False
ASTR/USDC,211015834.8,211015834.8,66671.34,66671.34,False,False,False
LIGHT/SOL,2715456.51,2526768.88,8377238.74,8145684.85,False,False,False
LIGHT/VIRTUAL,79943.67,79478.03,46728.3,47726.37,False,False,False
LIGHT/USDC,9280.55,8741.79,152268.34,166255.46,False,False,False
BACK/SOL,26864.91,26864.91,36161.28,36161.28,False,False,False
GEM/SOL,64543.11,64633.71,13057.84,14620.43,False,False,False
SOL/SPDR,7270.8,7270.8,29141.13,29141.13,False,False,False
MM/WBNB,1694574.55,1681040.59,8498190.2,8535496.94,False,False,False
PX/TON,424346.95,423324.3,51424.12,50912.67,False,False,False
PX/SOL,15910.24,16555.58,36636.84,35656.24,False,False,False
VVV/WETH,11138817.16,11006544.12,1142064.67,1258712.72,False,False,False
USDC/VVV,36107.51,35773.48,43950.38,44741.78,False,False,False
RSR/WETH,728221.32,728390.8,40862.35,41977.37,False,False,False
EUSD/RSR,3767340.77,3727619.75,720571.01,733775.93,False,False,False
ETH+/RSR,3896785.86,3909482.6,206873.43,205973.93,False,False,False
BOO/SOL,30605.7,31919.59,44965.51,48264.2,False,False,False
BCC/USDC,52913.49,52913.49,32768.58,32768.58,False,False,False
PRIME/WETH,1117474.02,1115970.37,144254.11,193639.78,False,False,False
GREEN/SOL,84264.92,86520.91,3276460.23,3236836.86,False,False,False
ART/WAVAX,146846.75,143820.92,10216.72,10239.87,False,False,False
FAC/SOL,11323.64,13716.48,249270.87,248971.65,False,False,False
COPE/VIRTUAL,104628.52,102873.3,27135.87,29711.5,False,False,False
COPE/SOL,48549.45,49174.1,15331.76,15110.46,False,False,False
SC/SOL,1101145.9,1087297.38,210467.8,217363.63,False,False,False
AUTOS/WETH,492179.85,493567.49,135368.17,134447.43,False,False,False
ALEPH/SOL,255375.73,253073.07,16617.26,16601.43,False,False,False
ALEPH/WBNB,177874.71,177287.52,11415.23,11647.45,False,False,False
DOGO/WBNB,41148.82,41208.07,215921.29,287107.77,False,False,False
SOL/SPX,4768595.67,4724294.56,2263285.03,2334232.46,False,False,False
SPX/WETH,26829256.8,26616878.54,4963477.51,5243840.74,False,False,False
SPX/USDC,1303086.48,1280258.61,4526323.67,4800289.69,False,False,False
POPCAT/SPX,223951.8,224069.96,42596.87,44132.3,False,False,False
JITOSOL/SPX,152361.92,151375.38,33579.98,34983.95,False,False,False
CBETH/SPX,327047.91,324821.01,73945.76,76879.73,False,False,False
FARTCOIN /SPX,66070.55,0.0,181416.65,0.0,False,False,False
MSOL/SPX,59564.52,59142.08,10886.86,11447.59,False,False,False
JESUS/WETH,1787678.71,1774080.01,38324.31,38917.87,False,False,False
BIO/CRYO,336771.51,336771.51,136726.15,137720.82,False,False,False
CRYO/WETH,317869.23,317869.23,10236.2,10236.2,False,False,False
KITTY/SOL,480746.48,459774.79,413012.13,465897.14,False,False,False
APT/ZUSDC,282733.93,282182.23,123076.21,108151.79,False,False,False
APT/USDT,90933.42,90628.55,12513.53,12293.66,False,False,False
APT/USDC,1811698.64,1805235.25,8791350.22,8812080.68,False,False,False
MEW/SOL,31713908.51,31416656.75,1965517.41,2003226.81,False,False,False
ICE/SOL,39289.32,39041.88,15593.79,15198.89,False,False,False
DRUGS/SOL,251556.22,251399.49,40318.03,39989.41,False,False,False
PSOL/SOL,3977656.94,3964188.89,534579.48,542341.4,False,False,False
TRYB/USDC,174051.47,174051.47,61235.22,61235.22,False,False,False
ADA/FLOW,449349.24,441434.77,44763.03,52506.91,False,False,False
PIXL/WETH,362223.26,358794.7,26868.69,28213.71,False,False,False
SOL/WON,24699.7,23625.62,6403658.71,6402132.89,False,False,False
COW/WBNB,2638431.9,2616939.45,45555.74,43364.23,False,False,False
COW/WETH,5833918.24,5833918.24,166519.17,166519.17,False,False,False
PIP/WHYPE,159342.98,159342.98,17706.8,21739.69,False,False,False
PIP/SOL,17805.79,26513.94,851557.28,851141.16,False,False,False
PIP/WETH,7632.59,7632.59,25863.61,25863.61,False,False,False
SMOL/WETH,319068.73,311019.01,32164.39,32669.04,False,False,False
ETH/SMOL,110680.37,110680.37,13287.15,14373.07,False,False,False
MAGIC/SMOL,134981.86,132423.06,15743.33,17270.83,False,False,False
POT/USDT,2310486.41,2307904.85,168235.67,179064.17,False,False,False
POT/SOL,9008.33,12809.23,312711.33,332493.35,False,False,False
ETH/ONI,79661.87,79512.89,11113.27,11107.32,False,False,False
BUSD/ONI,8836.77,8799.55,11208.68,11190.06,False,False,False
BAMBOO/WETH,320741.64,318844.32,12908.31,13215.12,False,False,False
PP/SOL,228446.63,220673.65,51894.09,59693.96,False,False,False
SOL/VIRUS,318843.83,314285.55,41977.77,42466.53,False,False,False
CVC/WETH,9970.89,9970.89,18261.99,18267.48,False,False,False
CVC/ZIK,7353.05,7353.05,10186.64,10186.64,False,False,False
SANTA/VIRTUAL,378531.95,377207.88,136374.23,143008.47,False,False,False
SANTA/SOL,64391.26,64391.26,13162.71,14132.47,False,False,False
CAKE/MCAKE,77446.86,77446.86,10896.73,10896.73,False,False,False
MYTH/USDC,82705.48,83096.12,35796.26,35069.79,False,False,False
BLACK/MYTH,41922.58,41768.58,12718.62,12626.52,False,False,False
ETH/MYTH,405774.35,402489.8,25543.76,24773.87,False,False,False
SOL/WEN,154784.81,154784.81,12933.85,12933.85,False,False,False
APC/SOL,87931.13,93214.01,19328.0,15865.94,False,False,False
BSOL/SOL,3417022.98,3390403.28,886816.62,900200.18,False,False,False
BSOL/MSOL,297703.14,295389.84,151815.88,157429.44,False,False,False
BSOL/JITOSOL,388216.17,385010.24,178666.71,178114.66,False,False,False
BSOL/JUP,651458.24,651458.24,107025.77,107025.77,False,False,False
BSOL/KMNO,46392.97,45620.88,40152.31,38175.64,False,False,False
BSOL/USDC,25881.49,25719.53,44753.43,45659.34,False,False,False
ATS/USDC,25735.67,25715.45,14342.23,14578.57,False,False,False
RR/SOL,29192.27,27349.64,210012.55,191114.85,False,False,False
SOLO/USDT,286502.06,286575.36,14290.5,14099.21,False,False,False
SOL/SOLO,8367.1,8560.11,220383.54,220088.25,False,False,False
GARI/SOL,135777.71,137761.19,1578808.66,1486564.97,False,False,False
SNK/USDT,137947.69,137953.6,23300.75,23637.71,False,False,False
SMN/WBNB,53648.95,51547.26,38774.79,38847.1,False,False,False
HBB/USDH,15060.72,15044.91,37388.92,37381.44,False,False,False
AP/SOL,172339.96,170172.06,26198.84,30732.42,False,False,False
AP/WETH,455261.03,438722.52,394998.08,383563.33,False,False,False
DASH/USDC,442801280.2,442801280.2,46671.33,46671.33,False,False,False
DASH/SOL,7366.67,7368.0,58224.97,58159.65,False,False,False
CHERRY/TON,212691.46,213578.52,198582.74,199136.96,False,False,False
CHERRY/USDC,25786.99,25786.99,46829.67,46829.67,False,False,False
HERO/WETH,74801.16,73546.35,32868.63,32625.22,False,False,False
HERO/WBNB,10247670.86,10100423.57,12969.08,13031.56,False,False,False
CHIPS/SOL,46522.85,43225.74,16025.82,13991.89,False,False,False
BASEDHYPE/HYPE,55376275.74,50730869.53,1050828.43,1002974.98,False,False,False
PBTC/SOL,509988.77,503151.77,38331.53,37434.97,False,False,False
BEER/WETH,162987.69,235367.57,5597800.97,5613138.37,False,False,False
BEER/WBNB,237960.82,240312.54,1425213.48,1462668.82,False,False,False
TFT/TON,40774.25,40133.15,14965.99,14486.12,False,False,False
BUZZ/SOL,1968643.1,1986442.5,5180125.09,6285000.05,False,False,False
SOL/STEAK,60808.53,59028.27,372861.15,371142.8,False,False,False
OUT/WBNB,109614.27,107898.26,25403.28,24044.83,False,False,False
COMPANY/SOL,47290.19,42330.83,33992.46,32962.67,False,False,False
CHIMP/WETH,240384.03,236821.1,123042.83,126758.7,False,False,False
COMPANION/SOL,34737.96,34385.65,11002.81,10949.3,False,False,False
CHAN/SOL,7165.29,7225.52,97208.06,97186.59,False,False,False
POLY/USDT,822785.09,822115.11,12819.49,12485.39,False,False,False
QUACK/WBNB,2152041.58,2136271.5,33508.25,33505.33,False,False,False
QUACK/TON,7146.5,6941.44,19819.18,19686.64,False,False,False
CHUD/SOL,669242.55,658910.38,179020.97,178619.67,False,False,False
KAI/SOL,230519.84,226326.05,162508.89,165451.5,False,False,False
SOL/WAVE,24015.19,1568668.85,492911.22,12558.42,False,False,False
BERRY/WETH,517883.39,506786.11,233924.69,233031.97,False,False,False
BNW/SOL,10969.43,10904.14,3764631.24,3764223.15,False,False,False
RIZE/USDC,151583.69,152821.15,131265.44,133537.61,False,False,False
STS/WOS,64979.45,64099.05,54775.53,55853.85,False,False,False
WOS/WS,8857.57,8836.86,33718.26,33020.03,False,False,False
NEON/SOL,130645.8,129446.29,18154.4,18232.34,False,False,False
NEON/USDC,27802.9,27763.81,19371.32,21245.6,False,False,False
LOT/WBNB,818747.89,813941.27,1351652.76,1292436.16,False,False,False
PILL/SOL,246014.49,244625.92,31059.04,31953.38,False,False,False
HIPPO/SUI,1314780.79,1306107.22,144372.64,151467.81,False,False,False
GEAR/WETH,2963152.51,2963152.51,213455.89,221454.28,False,False,False
RICH/SOL,48955.31,49106.71,12172.64,12652.06,False,False,False
RICH/USDC,47881.8,48115.18,14199.33,14862.35,False,False,False
DARK/SOL,770003.87,767838.98,360059.38,378881.16,False,False,False
DARK/WBNB,1587938.99,1577623.73,8898842.77,8847620.31,False,False,False
ECHO/WBNB,1103534.73,1095329.06,1674313.3,1666984.17,False,False,False
APT/ECHO,99819.4,98884.11,707474.83,709363.5,False,False,False
AF/SOL,13530.06,12967.69,29630.18,33344.95,False,False,False
MONKE/SOL,5809.92,5699.49,822780.91,822593.76,False,False,False
MONKE/WETH,131700.67,131700.67,11769.95,11802.97,False,False,False
ASTRA/WETH,648371.73,645347.76,189847.95,211861.08,False,False,False
INU/SOL,31608.63,31111.45,15183.76,14860.28,False,False,False
SOL/ZEUS,285387.06,285387.06,123186.04,124600.36,False,False,False
WETH/ZEUS,562323.86,558181.32,255021.91,276107.22,False,False,False
TKC/WBNB,259682.07,255219.31,278314.18,275244.84,False,False,False
DRIFT/JITOSOL,390129.51,386579.14,108320.04,113330.81,False,False,False
WBERA/ZERO,145750.08,147491.56,21327.63,20599.09,False,False,False
NECT/ZERO,98363.25,98620.94,17050.38,16505.61,False,False,False
WETH/ZERO,103248.77,101376.39,23475.51,17862.01,False,False,False
SOL/SOLA,197189.56,193356.95,57333.25,44912.17,False,False,False
LEGIT/SOLA,4741876.09,4702840.46,863687.22,665315.32,False,False,False
PANDA/WBNB,81353.77,80590.94,25352.38,25444.48,False,False,False
PANDA/SOL,229931.98,226634.93,47984.72,63418.23,False,False,False
ICP/PANDA,360027.72,357205.91,12681.85,12736.97,False,False,False
PANDA/USDT,1157469.82,1158024.86,85785.0,87679.01,False,False,False
BOP/LEGIT,5232611.7,5256565.93,60098.41,50494.3,False,False,False
PAI/WETH,1007949.75,996192.33,487780.42,558845.44,False,False,False
STETH/WPLS,124357.02,118998.11,13359.63,10052.83,False,False,False
ETH/STETH,214208511.6,212519010.81,79023907.19,78678729.3,False,False,False
STETH/WETH,6432520.35,6336158.56,282941.28,299691.72,False,False,False
WETH/WSTETH,25996021.05,25742513.28,2744371.1,2793756.38,False,False,False
USDC/WSTETH,178487.81,177490.45,918938.87,945692.71,False,False,False
AERO/WSTETH,418613.0,409631.18,15359.45,15027.79,False,False,False
CBETH/WSTETH,322388.72,326106.51,13471.16,14048.94,False,False,False
RETH/WSTETH,1773290.68,1784068.88,108103.11,57183.36,False,False,False
LDO/WETH,6161560.93,6134529.77,11717728.02,11829905.02,False,False,False
LDO/WPOL,176761.49,175000.11,148652.45,149302.82,False,False,False
LDO/WSTETH,165636.5,164744.5,26125.05,26418.62,False,False,False
LDO/USDC,88145.53,87789.5,64910.39,65033.4,False,False,False
ETH/LDO,108936.04,108988.63,114309.56,114293.1,False,False,False
SOL/TRASH,568770.07,594648.49,14751247.68,13264449.61,False,False,False
VIP/WIP,804962.2,785498.21,33331.25,30565.41,False,False,False
GHOST/SOL,10815.11,10501.7,4957042.14,4956600.72,False,False,False
BONER/SOL,36809.5,37319.97,16446.36,16845.88,False,False,False
SOL/VIBE,247253.75,247973.25,41819.42,41341.62,False,False,False
USDC/VIBE,747142.16,748086.17,18557.07,16937.45,False,False,False
LEGIT/VIBE,4462137.67,4462137.67,43796.44,43796.44,False,False,False
VIBE/WETH,97101.24,100519.99,26549.0,27428.67,False,False,False
SENDIT/SOL,144334.47,142808.36,57502.28,68111.48,False,False,False
SINU/SOL,54071.35,53815.0,52114.92,52141.96,False,False,False
SOL/WAGMI,179413.39,175420.22,73385.94,68494.74,False,False,False
FOXY/WETH,819564.52,812832.81,518532.99,535326.22,False,False,False
SHIBU/SOL,521279.92,483689.73,24255961.0,24526506.05,False,False,False
REAL/USDT,134819.17,134819.17,13555.94,13929.04,False,False,False
REAL/XRP,36996.59,36088.76,24105.28,26150.54,False,False,False
CBBTC/REAL,22314.08,22545.97,22870.99,23040.73,False,False,False
STM/WETH,619673.23,615307.46,55928.6,52734.52,False,False,False
CAPY/SOL,283193.24,283740.99,496985.16,472754.08,False,False,False
FLUFFY/SOL,57031.52,56458.76,12412.82,14024.59,False,False,False
TWT/WBNB,692727.96,688125.52,68125.59,66856.14,False,False,False
FORA/WBNB,40837.18,41504.21,67877.96,66307.32,False,False,False
STT/USDT,1691252.77,1692448.88,68780.04,67758.56,False,False,False
MGC/TRIP,24165849.89,24165780.39,11607.12,11572.37,False,False,False
TRIP/WBNB,581719.15,581719.15,11429.98,11429.98,False,False,False
BLACK/MMA,75215.25,74600.11,14343.27,15901.78,False,False,False
MMA/WAVAX,26352.18,26352.18,10388.9,10706.93,False,False,False
MMA/WETH,117461.68,117461.68,12652.79,13284.53,False,False,False
RBTC/WBTC,930215.88,930215.88,21494.35,60963.65,False,False,False
SOL/ZION,34971.21,0.0,829403.73,0.0,False,False,False
POOP/WETH,89447.53,90098.07,447485.32,417491.99,False,False,False
